run_index,drill_id,family,seed,driver,passed,infrastructure_error,final_state,failed_invariants,unmet_expectations,faults_injected,tool_calls,tool_denials,duplicate_receipts,model_calls,wall_clock_s,committed,quarantined,unresolved,in_flight,total_containers,error
115,D10,security,20261331,scripted,True,False,RECONCILING,,,0,106,2,0,0,0.68,0,0,0,42,42,
116,D11,security,20261331,scripted,True,False,CAPACITY_RESERVED,,,0,14,2,0,0,0.11,0,0,0,42,42,
117,D12,idempotency,20261331,scripted,True,False,CLOSED,,,0,106,0,1,0,0.86,42,0,0,0,42,
118,D13,partial,20261331,scripted,True,False,RECONCILING,,,0,100,0,0,0,0.9,40,0,0,2,42,
119,D14,partial,20261331,scripted,True,False,RECONCILING,,,0,104,0,0,0,0.88,41,0,0,1,42,
120,D15,availability,20261331,scripted,True,False,CONTAINED,,,3,8,0,0,0,0.06,0,0,0,42,42,
121,D16,governance,20261331,scripted,True,False,RESCUE_PLANNING,,,0,27,0,0,0,0.19,0,0,0,42,42,
122,D17,availability,20261331,scripted,True,False,RESCUE_PLANNING,,,2,9,0,0,0,0.08,0,0,0,42,42,
123,D18,recovery,20261331,scripted,True,False,CLOSED,,,0,105,0,0,0,0.96,42,0,0,0,42,
124,H1,idempotency,20261331,scripted,True,False,CLOSED,,,1,105,0,0,0,0.88,42,0,0,0,42,
125,H2,safety,20261331,scripted,True,False,CLOSED,,,0,106,0,0,0,0.86,42,0,0,0,42,
126,H3,partial,20261331,scripted,True,False,RECONCILING,,,0,105,0,0,0,0.98,41,0,0,1,42,
